rank,token,count,relative_frequency
1,la,17329,0.023036469646736023
2,que,17208,0.022875617155117635
3,de,14392,0.019132140986544224
4,el,10321,0.013720318727218102
5,en,8268,0.010991143807444944
6,los,7206,0.009579364087620739
7,un,6965,0.009258988463818825
8,se,6872,0.009135358036376592
9,a,6446,0.008569050917125074
10,una,6032,0.008018696111091909
11,había,5332,0.007088144506688008
12,no,4833,0.0064247941486915115
13,por,4585,0.006095113008845558
14,con,4539,0.006033962474841873
15,cuando,4464,0.005934260517227169
16,para,4372,0.005811959449219799
17,su,4369,0.005807971370915211
18,y,4361,0.005797336495436309
19,las,4336,0.005764102509564741
20,pero,3942,0.005240334892228831
21,estaba,3801,0.0050528952119131875
22,del,3655,0.004858808734423231
23,lo,3371,0.004481270654922219
24,como,3159,0.004199446454731323
25,era,3105,0.0041276610452487365
26,después,2993,0.003978772788544112
27,hasta,2694,0.0035812943175201595
28,todo,2481,0.003298140757894401
29,más,2467,0.003279529725806323
30,porque,2402,0.0031931213625402462
31,al,2353,0.0031279827502319734
32,tenía,2173,0.002888698051956684
33,le,2166,0.002879392535912645
34,fue,2075,0.002758420827340138
35,bolsillos,1918,0.0025497113960666912
36,ella,1874,0.002491219580932732
37,casa,1818,0.0024167754525804197
38,sus,1755,0.0023330258081840686
39,también,1745,0.0023197322138354412
40,todos,1700,0.002259911039266619
41,desde,1687,0.0022426293666134036
42,ese,1626,0.002161538441086778
43,si,1625,0.002160209081651915
44,sobre,1625,0.002160209081651915
45,es,1609,0.0021389393306941117
46,nunca,1588,0.0021110227825619945
47,me,1577,0.0020963998287785047
48,esa,1572,0.0020897530316041912
49,eso,1521,0.0020219557004261925
50,sin,1515,0.0020139795438170165
51,mientras,1432,0.0019036427107234108
52,dijo,1388,0.0018451508955894512
53,día,1388,0.0018451508955894512
54,noche,1374,0.0018265398635013731
55,vez,1364,0.001813246269152746
56,mi,1359,0.0018065994719784326
57,nadie,1307,0.001737472781365571
58,nos,1306,0.0017361434219307086
59,dos,1304,0.0017334847030609831
60,familia,1287,0.0017108855926683169
61,eran,1248,0.001659040574708671
62,nada,1243,0.0016523937775343573
63,entonces,1233,0.0016391001831857301
64,durante,1220,0.0016218185105325148
65,poco,1203,0.0015992194001398486
66,solo,1167,0.0015513624604847908
67,volvió,1163,0.00154604502274534
68,aunque,1161,0.0015433863038756144
69,alejandro,1138,0.001512811036873772
70,qué,1131,0.0015035055208297329
71,siempre,1129,0.0015008468019600076
72,antes,1120,0.001488882567046243
73,él,1087,0.0014450137056957735
74,leopoldo,1083,0.0014396962679563226
75,algo,1055,0.0014024742037801665
76,años,1054,0.0014011448443453037
77,esta,1052,0.0013984861254755783
78,cada,1039,0.001381204452822363
79,tan,1037,0.0013785457339526375
80,podía,1023,0.0013599347018645595
81,ahí,1021,0.0013572759829948342
82,hermano,1002,0.0013320181537324425
83,emilia,985,0.0013094190433397762
84,jordán,980,0.0013027722461654628
85,donde,975,0.0012961254489911491
86,así,958,0.0012735263385984829
87,estaban,957,0.0012721969791636202
88,hombre,947,0.001258903384814993
89,ahora,945,0.0012562446659452676
90,matías,939,0.0012482685093360914
91,wakefield,938,0.0012469391499012287
92,cabeza,931,0.0012376336338571895
93,bien,930,0.0012363042744223268
94,primera,930,0.0012363042744223268
95,hacer,910,0.0012097170857250726
96,gente,907,0.0012057290074204844
97,menos,906,0.0012043996479856216
98,habían,896,0.0011911060536369945
99,ya,885,0.0011764830998535047
100,adrianita,880,0.001169836302679191
101,mismo,879,0.0011685069432443283
102,entre,872,0.0011592014272002894
103,madwell,872,0.0011592014272002894
104,empezó,870,0.001156542708330564
105,ojos,852,0.001132614238503035
106,veces,816,0.0010847572988479772
107,mañana,809,0.001075451782803938
108,vida,808,0.0010741224233690753
109,haciendo,794,0.0010555113912809973
110,puerta,792,0.0010528526724112718
111,nuestra,787,0.0010462058752369584
112,tenían,771,0.0010249361242791548
113,solamente,767,0.001019618686539704
114,otro,766,0.0010182893271048412
115,mucho,757,0.0010063250921910768
116,cuerpo,749,0.0009956902167121751
117,halcrow,736,0.0009784085440589598
118,está,727,0.0009664443091451953
119,venía,722,0.0009597975119708817
120,tomás,718,0.0009544800742314309
121,les,716,0.0009518213553617054
122,alguien,708,0.0009411864798828036
123,todas,707,0.000939857120447941
124,sentía,705,0.0009371984015782155
125,tiempo,697,0.0009265635260993138
126,silencio,685,0.0009106112128809612
127,marido,681,0.0009052937751415103
128,nosotros,673,0.0008946588996626086
129,tener,669,0.0008893414619231577
130,yo,668,0.000888012102488295
131,momento,667,0.0008866827430534322
132,muy,665,0.0008840240241837069
