rank,token,count,relative_frequency
1,",",55996,0.052642563424718576
2,.,40870,0.0384224153005259
3,de,36156,0.033990722965642636
4,la,33862,0.03183410391256198
5,que,29960,0.02816578327388686
6,y,25674,0.024136459271487692
7,a,21687,0.020388229034071573
8,el,19283,0.018128197559090797
9,en,16781,0.01577603501732628
10,se,14253,0.013399429539476282
11,un,12909,0.012135917766442106
12,los,10142,0.009534625299190939
13,su,8286,0.007789775707858028
14,una,8112,0.0076261960586705676
15,no,8073,0.007589531654542344
16,con,7243,0.006809237925659631
17,[UNK],7189,0.006758471827635936
18,por,6814,0.006405929480249167
19,las,6751,0.0063467023658881905
20,lo,6162,0.005792975852259373
21,##s,5847,0.005496840280454488
22,del,5838,0.005488379264117205
23,para,5821,0.005472397344369006
24,había,4939,0.004643217743315327
25,al,4585,0.004310417767382218
26,le,4583,0.004308537541529488
27,:,3913,0.0036786618808651297
28,era,3870,0.003638237025031447
29,como,3777,0.0035508065228795284
30,más,3769,0.0035432856194686107
31,pero,3286,0.003089211076034453
32,##ba,3250,0.0030553670106853235
33,##a,3210,0.003017762493630735
34,estaba,3111,0.0029246913139206283
35,##ó,3003,0.002823159117873239
36,##n,2905,0.0027310280510894967
37,si,2738,0.0025740291923865895
38,sus,2699,0.0025373647882583656
39,cuando,2679,0.0025185625297310713
40,es,2675,0.0025148020780256125
41,##do,2672,0.002511981739246518
42,me,2637,0.0024790777868237534
43,fue,2543,0.00239070717174547
44,todo,2526,0.00237472525199727
45,mi,2345,0.0022045648123252565
46,##on,2179,0.002048506066548714
47,hasta,2127,0.001999620194377749
48,casa,2101,0.001975177258292266
49,vez,2052,0.001929111724900395
50,porque,1948,0.0018313399805584647
51,tenía,1909,0.0017946755764302407
52,ese,1869,0.0017570710593756522
53,día,1853,0.0017420292525538168
54,esa,1770,0.0016639998796655455
55,o,1769,0.0016630597667391808
56,después,1662,0.0015624676836181561
57,sin,1620,0.0015229829407108382
58,ya,1606,0.0015098213597417322
59,nos,1606,0.0015098213597417322
60,eso,1574,0.0014797377460980612
61,él,1547,0.001454354697086214
62,sobre,1540,0.001447773906601661
63,?,1537,0.0014449535678225669
64,##o,1529,0.0014374326644116492
65,##w,1505,0.001414869954178896
66,dos,1475,0.0013866665663879545
67,dijo,1452,0.001365043969081566
68,tan,1445,0.0013584631785970131
69,##r,1431,0.0013453015976279071
70,ella,1428,0.001342481258848813
71,qué,1425,0.0013396609200697189
72,##ta,1411,0.0013264993391006127
73,bolsillos,1404,0.0013199185486160597
74,Pero,1372,0.001289834934972389
75,también,1335,0.0012550507566968943
76,desde,1325,0.0012456496274332472
77,todos,1298,0.0012202665784214
78,noche,1283,0.0012061648845259293
79,##ado,1279,0.0012024044328204705
80,nunca,1276,0.0011995840940413763
81,La,1270,0.001193943416483188
82,años,1246,0.0011713807062504347
83,##ban,1232,0.0011582191252813288
84,¿,1225,0.0011516383347967758
85,J,1213,0.0011403569796803992
86,Cuando,1202,0.0011300157374903874
87,nada,1193,0.001121554721153105
88,cada,1186,0.001114973930668552
89,ver,1182,0.0011112134789630931
90,algo,1157,0.0010877106558039751
91,##da,1155,0.0010858304299512457
92,poco,1147,0.001078309526540328
93,),1138,0.0010698485102030456
94,(,1135,0.0010670281714239515
95,familia,1112,0.001045405574117563
96,solo,1108,0.0010416451224121042
97,nadie,1096,0.0010303637672957275
98,les,1082,0.0010172021863266215
99,!,1048,0.0009852383468302213
100,yo,1040,0.0009777174434193036
101,##se,1026,0.0009645558624501975
102,##mente,1017,0.0009560948461129151
103,muy,1010,0.0009495140556283621
104,##án,1002,0.0009419931522174444
105,ojos,993,0.0009335321358801619
106,##k,991,0.0009316519100274325
107,Emi,985,0.0009260112324692442
108,##lia,985,0.0009260112324692442
109,##ita,981,0.0009222507807637853
110,eran,977,0.0009184903290583265
111,¡,976,0.0009175502161319618
112,donde,952,0.0008949875058992086
113,ahí,947,0.000890286941267385
114,antes,940,0.000883706150782832
115,hermano,931,0.0008752451344455496
116,bien,914,0.0008592632146973494
117,ni,912,0.00085738298884462
118,siempre,910,0.0008555027629918905
119,Mat,905,0.000850802198360067
120,##ías,905,0.000850802198360067
121,mismo,904,0.0008498620854337023
122,vida,902,0.0008479818595809728
123,##ord,900,0.0008461016337282434
124,podía,897,0.0008432812949491493
125,volvió,893,0.0008395208432436904
126,##ía,885,0.0008319999398327727
127,gente,879,0.0008263592622745845
128,##la,879,0.0008263592622745845
129,hombre,875,0.0008225988105691256
130,hacer,867,0.0008150779071582078
131,Alejandro,867,0.0008150779071582078
132,entre,846,0.0007953355357045489
133,En,829,0.0007793536159563486
134,luz,817,0.0007680722608399721
135,menos,815,0.0007661920349872427
136,esta,810,0.0007614914703554191
137,Ber,802,0.0007539705669445014
138,##mos,798,0.0007502101152390426
139,Leopol,792,0.0007445694376808542
140,mañana,790,0.0007426892118281247
141,El,787,0.0007398688730490306
142,Después,787,0.0007398688730490306
143,otro,785,0.0007379886471963012
144,##es,782,0.000735168308417207
145,mientras,777,0.0007304677437853835
146,ahora,775,0.0007285875179326541
147,empezó,774,0.0007276474050062894
148,primera,774,0.0007276474050062894
149,cabeza,772,0.0007257671791535599
150,pasar,770,0.0007238869533008305
151,ser,758,0.000712605598184454
152,W,755,0.0007097852594053598
153,uno,754,0.0007088451464789951
154,cama,741,0.0006966236784362537
155,##aba,739,0.0006947434525835243
156,está,739,0.0006947434525835243
157,##te,731,0.0006872225491726066
158,veces,730,0.0006862824362462419
159,todas,730,0.0006862824362462419
160,cuerpo,728,0.0006844022103935125
161,mujer,714,0.0006712406294244065
162,estaban,714,0.0006712406294244065
163,##le,714,0.0006712406294244065
164,habían,710,0.0006674801777189475
165,tiempo,708,0.0006655999518662181
166,Tomás,705,0.000662779613087124
167,mano,699,0.0006571389355289357
