split,step,epoch,loss,learning_rate
train,10,0.3125,1.1094,1.96875e-05
train,20,0.625,1.1236,1.9375e-05
train,30,0.9375,1.1145,1.9062500000000003e-05
eval,32,1.0,1.101062536239624,
train,40,1.25,1.0671,1.8750000000000002e-05
train,50,1.5625,1.0889,1.84375e-05
train,60,1.875,1.0549,1.8125e-05
eval,64,2.0,1.1178996562957764,
train,70,2.1875,1.0366,1.7812500000000003e-05
train,80,2.5,0.9726,1.7500000000000002e-05
train,90,2.8125,1.0014,1.71875e-05
eval,96,3.0,1.1008315086364746,
train,100,3.125,0.8984,1.6875e-05
train,110,3.4375,0.8302,1.6562500000000003e-05
train,120,3.75,0.7932,1.6250000000000002e-05
eval,128,4.0,1.1135808229446411,
train,130,4.0625,0.7583,1.59375e-05
train,140,4.375,0.6373,1.5625e-05
train,150,4.6875,0.5804,1.5312500000000003e-05
train,160,5.0,0.5509,1.5000000000000002e-05
eval,160,5.0,1.1722214221954346,
train,170,5.3125,0.3975,1.4687500000000001e-05
train,180,5.625,0.348,1.4375e-05
train,190,5.9375,0.3171,1.4062500000000001e-05
eval,192,6.0,1.406679391860962,
train,200,6.25,0.2528,1.375e-05
train,210,6.5625,0.1687,1.3437500000000001e-05
train,220,6.875,0.1552,1.3125e-05
eval,224,7.0,1.579521894454956,
train,230,7.1875,0.1314,1.2812500000000001e-05
train,240,7.5,0.0786,1.25e-05
train,250,7.8125,0.0825,1.2187500000000001e-05
eval,256,8.0,1.8841142654418945,
train,260,8.125,0.053,1.1875e-05
train,270,8.4375,0.0293,1.1562500000000002e-05
train,280,8.75,0.0307,1.125e-05
eval,288,9.0,2.214768886566162,
train,290,9.0625,0.0233,1.0937500000000002e-05
train,300,9.375,0.0134,1.0625e-05
train,310,9.6875,0.0102,1.0312500000000002e-05
train,320,10.0,0.0156,1e-05
eval,320,10.0,2.5031449794769287,
train,330,10.3125,0.0057,9.6875e-06
train,340,10.625,0.006,9.375000000000001e-06
train,350,10.9375,0.0078,9.0625e-06
eval,352,11.0,2.737813711166382,
train,360,11.25,0.0076,8.750000000000001e-06
train,370,11.5625,0.0053,8.4375e-06
train,380,11.875,0.0052,8.125000000000001e-06
eval,384,12.0,2.688875913619995,
train,390,12.1875,0.0057,7.8125e-06
train,400,12.5,0.0035,7.500000000000001e-06
train,410,12.8125,0.0039,7.1875e-06
eval,416,13.0,2.8268449306488037,
train,420,13.125,0.0025,6.875e-06
train,430,13.4375,0.0026,6.5625e-06
train,440,13.75,0.0021,6.25e-06
eval,448,14.0,2.919234275817871,
train,450,14.0625,0.0064,5.9375e-06
train,460,14.375,0.0025,5.625e-06
train,470,14.6875,0.0078,5.3125e-06
train,480,15.0,0.002,5e-06
eval,480,15.0,2.969870090484619,
train,490,15.3125,0.0018,4.6875000000000004e-06
train,500,15.625,0.0027,4.3750000000000005e-06
train,510,15.9375,0.0021,4.0625000000000005e-06
eval,512,16.0,3.0245566368103027,
train,520,16.25,0.0014,3.7500000000000005e-06
train,530,16.5625,0.0018,3.4375e-06
train,540,16.875,0.0016,3.125e-06
eval,544,17.0,3.0162456035614014,
train,550,17.1875,0.0015,2.8125e-06
train,560,17.5,0.0014,2.5e-06
train,570,17.8125,0.0014,2.1875000000000002e-06
eval,576,18.0,3.053333044052124,
train,580,18.125,0.0015,1.8750000000000003e-06
train,590,18.4375,0.0017,1.5625e-06
train,600,18.75,0.0014,1.25e-06
eval,608,19.0,3.064945936203003,
train,610,19.0625,0.0013,9.375000000000001e-07
train,620,19.375,0.0014,6.25e-07
train,630,19.6875,0.0013,3.125e-07
train,640,20.0,0.0014,0.0
eval,640,20.0,3.059009313583374,
eval,640,20.0,3.0162456035614014,
