split,step,epoch,loss,learning_rate
eval,16,1.0,0.41140231490135193,
eval,32,2.0,0.42751091718673706,
eval,48,3.0,0.4054725468158722,
eval,64,4.0,0.4949967563152313,
eval,80,5.0,0.5589743852615356,
eval,96,6.0,0.7240111827850342,
eval,112,7.0,0.7894420623779297,
eval,128,8.0,0.8953855037689209,
eval,144,9.0,0.9123362302780151,
eval,160,10.0,0.9578461647033691,
eval,176,11.0,0.9790558815002441,
eval,192,12.0,0.9899731278419495,
eval,208,13.0,1.0004841089248657,
eval,224,14.0,1.0034708976745605,
eval,240,15.0,1.0166568756103516,
eval,256,16.0,1.0264102220535278,
eval,272,17.0,1.0315330028533936,
eval,288,18.0,1.0354889631271362,
eval,304,19.0,1.0374828577041626,
eval,320,20.0,1.0380443334579468,
