split,step,epoch,loss,learning_rate
train,10,0.625,1.1013,1.9375e-05
eval,16,1.0,1.102780818939209,
train,20,1.25,1.0455,1.8750000000000002e-05
train,30,1.875,0.9649,1.8125e-05
eval,32,2.0,1.0663403272628784,
train,40,2.5,0.8453,1.7500000000000002e-05
eval,48,3.0,1.079225778579712,
train,50,3.125,0.7334,1.6875e-05
train,60,3.75,0.6103,1.6250000000000002e-05
eval,64,4.0,1.140649676322937,
train,70,4.375,0.4711,1.5625e-05
train,80,5.0,0.4056,1.5000000000000002e-05
eval,80,5.0,1.175316572189331,
train,90,5.625,0.3205,1.4375e-05
eval,96,6.0,1.2502928972244263,
train,100,6.25,0.2209,1.375e-05
train,110,6.875,0.1952,1.3125e-05
eval,112,7.0,1.2886406183242798,
train,120,7.5,0.1224,1.25e-05
eval,128,8.0,1.4665390253067017,
train,130,8.125,0.0874,1.1875e-05
train,140,8.75,0.0593,1.125e-05
eval,144,9.0,1.5102925300598145,
train,150,9.375,0.0471,1.0625e-05
train,160,10.0,0.0365,1e-05
eval,160,10.0,1.6942946910858154,
train,170,10.625,0.0176,9.375000000000001e-06
eval,176,11.0,1.8810752630233765,
train,180,11.25,0.0113,8.750000000000001e-06
train,190,11.875,0.0078,8.125000000000001e-06
eval,192,12.0,1.9916960000991821,
train,200,12.5,0.0055,7.500000000000001e-06
eval,208,13.0,2.00463604927063,
train,210,13.125,0.0058,6.875e-06
train,220,13.75,0.004,6.25e-06
eval,224,14.0,2.072042942047119,
train,230,14.375,0.007,5.625e-06
train,240,15.0,0.0149,5e-06
eval,240,15.0,2.111971616744995,
train,250,15.625,0.0035,4.3750000000000005e-06
eval,256,16.0,2.106182813644409,
train,260,16.25,0.0031,3.7500000000000005e-06
train,270,16.875,0.0031,3.125e-06
eval,272,17.0,2.142150402069092,
train,280,17.5,0.0115,2.5e-06
eval,288,18.0,2.164329767227173,
train,290,18.125,0.0027,1.8750000000000003e-06
train,300,18.75,0.004,1.25e-06
eval,304,19.0,2.1846089363098145,
train,310,19.375,0.0027,6.25e-07
train,320,20.0,0.008,0.0
eval,320,20.0,2.1823105812072754,
eval,320,20.0,1.5102925300598145,
