split,step,epoch,loss,learning_rate
eval,16,1.0,0.42555540800094604,
eval,32,2.0,0.43564727902412415,
eval,48,3.0,0.41310521960258484,
eval,64,4.0,0.4541797339916229,
eval,80,5.0,0.45152050256729126,
eval,96,6.0,0.5307897925376892,
eval,112,7.0,0.6027960181236267,
eval,128,8.0,0.7448444962501526,
eval,144,9.0,0.7927562594413757,
eval,160,10.0,0.8634045124053955,
eval,176,11.0,0.8761619925498962,
eval,192,12.0,0.9051443934440613,
eval,208,13.0,0.9265388250350952,
eval,224,14.0,0.933785080909729,
eval,240,15.0,0.9410567879676819,
eval,256,16.0,0.9596668481826782,
eval,272,17.0,0.9659394025802612,
eval,288,18.0,0.9701830148696899,
eval,304,19.0,0.9681602716445923,
eval,320,20.0,0.9689899682998657,
