split,step,epoch,loss,learning_rate
train,10,0.625,1.1171,1.9375e-05
eval,16,1.0,1.1473971605300903,
train,20,1.25,1.1149,1.8750000000000002e-05
train,30,1.875,1.0726,1.8125e-05
eval,32,2.0,1.1146125793457031,
train,40,2.5,1.0537,1.7500000000000002e-05
eval,48,3.0,1.121860146522522,
train,50,3.125,1.0076,1.6875e-05
train,60,3.75,0.9341,1.6250000000000002e-05
eval,64,4.0,1.1208842992782593,
train,70,4.375,0.8679,1.5625e-05
train,80,5.0,0.7848,1.5000000000000002e-05
eval,80,5.0,1.1116141080856323,
train,90,5.625,0.6364,1.4375e-05
eval,96,6.0,1.2012492418289185,
train,100,6.25,0.538,1.375e-05
train,110,6.875,0.3971,1.3125e-05
eval,112,7.0,1.2694001197814941,
train,120,7.5,0.2776,1.25e-05
eval,128,8.0,1.437503457069397,
train,130,8.125,0.1939,1.1875e-05
train,140,8.75,0.1018,1.125e-05
eval,144,9.0,1.6994733810424805,
train,150,9.375,0.0632,1.0625e-05
train,160,10.0,0.037,1e-05
eval,160,10.0,2.047203779220581,
train,170,10.625,0.0187,9.375000000000001e-06
eval,176,11.0,2.2842583656311035,
train,180,11.25,0.0126,8.750000000000001e-06
train,190,11.875,0.0107,8.125000000000001e-06
eval,192,12.0,2.440289258956909,
train,200,12.5,0.0071,7.500000000000001e-06
eval,208,13.0,2.5639803409576416,
train,210,13.125,0.0067,6.875e-06
train,220,13.75,0.0051,6.25e-06
eval,224,14.0,2.6440443992614746,
train,230,14.375,0.0051,5.625e-06
train,240,15.0,0.0042,5e-06
eval,240,15.0,2.6563446521759033,
train,250,15.625,0.004,4.3750000000000005e-06
eval,256,16.0,2.7625463008880615,
train,260,16.25,0.0035,3.7500000000000005e-06
train,270,16.875,0.0035,3.125e-06
eval,272,17.0,2.79451847076416,
train,280,17.5,0.0033,2.5e-06
eval,288,18.0,2.807147741317749,
train,290,18.125,0.0033,1.8750000000000003e-06
train,300,18.75,0.0031,1.25e-06
eval,304,19.0,2.8175463676452637,
train,310,19.375,0.0065,6.25e-07
train,320,20.0,0.0031,0.0
eval,320,20.0,2.8343822956085205,
eval,320,20.0,1.2694001197814941,
