split,step,epoch,loss,learning_rate
train,10,0.625,1.1059,1.9375e-05
eval,16,1.0,1.1579664945602417,
train,20,1.25,1.1128,1.8750000000000002e-05
train,30,1.875,1.0575,1.8125e-05
eval,32,2.0,1.112510323524475,
train,40,2.5,1.0219,1.7500000000000002e-05
eval,48,3.0,1.1099300384521484,
train,50,3.125,0.9869,1.6875e-05
train,60,3.75,0.9096,1.6250000000000002e-05
eval,64,4.0,1.121383547782898,
train,70,4.375,0.8466,1.5625e-05
train,80,5.0,0.7385,1.5000000000000002e-05
eval,80,5.0,1.1106717586517334,
train,90,5.625,0.6525,1.4375e-05
eval,96,6.0,1.1546528339385986,
train,100,6.25,0.5214,1.375e-05
train,110,6.875,0.4389,1.3125e-05
eval,112,7.0,1.174134373664856,
train,120,7.5,0.3213,1.25e-05
eval,128,8.0,1.254158854484558,
train,130,8.125,0.2359,1.1875e-05
train,140,8.75,0.1507,1.125e-05
eval,144,9.0,1.377508521080017,
train,150,9.375,0.1062,1.0625e-05
train,160,10.0,0.0637,1e-05
eval,160,10.0,1.5956149101257324,
train,170,10.625,0.0345,9.375000000000001e-06
eval,176,11.0,1.8169052600860596,
train,180,11.25,0.023,8.750000000000001e-06
train,190,11.875,0.0141,8.125000000000001e-06
eval,192,12.0,1.934627890586853,
train,200,12.5,0.0113,7.500000000000001e-06
eval,208,13.0,2.032932996749878,
train,210,13.125,0.0097,6.875e-06
train,220,13.75,0.0084,6.25e-06
eval,224,14.0,2.166712999343872,
train,230,14.375,0.0069,5.625e-06
train,240,15.0,0.0055,5e-06
eval,240,15.0,2.173283100128174,
train,250,15.625,0.0051,4.3750000000000005e-06
eval,256,16.0,2.2254598140716553,
train,260,16.25,0.0052,3.7500000000000005e-06
train,270,16.875,0.0046,3.125e-06
eval,272,17.0,2.268717050552368,
train,280,17.5,0.0043,2.5e-06
eval,288,18.0,2.278045415878296,
train,290,18.125,0.0043,1.8750000000000003e-06
train,300,18.75,0.0044,1.25e-06
eval,304,19.0,2.296948194503784,
train,310,19.375,0.0049,6.25e-07
train,320,20.0,0.004,0.0
eval,320,20.0,2.2968392372131348,
eval,320,20.0,1.934627890586853,
