column,count,mean,std,min,p25,median,p75,p90,p95,max
segment_index,65671,35.39606523427388,25.19137119390594,0.0,16.0,32.0,50.0,68.0,80.0,187.0
text_word_count,65671,12.623806550836747,12.30208393262715,1.0,3.0,10.0,19.0,28.0,34.0,168.0
text_lm_token_count,65671,16.197438747696854,15.05383669455714,1.0,5.0,13.0,24.0,35.0,44.0,194.0
text_lm_token_count_with_special_tokens,65671,18.197438747696854,15.05383669455714,3.0,7.0,15.0,26.0,37.0,46.0,196.0
text_was_truncated,65671,0.0007004613908726835,0.02645716166984819,0.0,0.0,0.0,0.0,0.0,0.0,1.0
scanpath_token_count,65671,11.454721262048697,12.181440794401613,1.0,3.0,8.0,16.0,26.0,34.0,332.0
scanpath_unique_token_count,65671,8.667037200590824,7.770369504264399,1.0,3.0,7.0,12.0,19.0,23.0,103.0
scanpath_repetition_ratio,65671,0.14206236652335663,0.15360048030764267,0.0,0.0,0.11111111111111116,0.25,0.36363636363636365,0.4285714285714286,0.8558558558558559
scanpath_lm_token_count,65671,16.169146198474213,16.155024602834473,1.0,5.0,12.0,22.0,36.0,46.0,390.0
scanpath_lm_token_count_with_special_tokens,65671,18.169146198474213,16.155024602834473,3.0,7.0,14.0,24.0,38.0,48.0,392.0
scanpath_was_truncated,65671,0.0010506920863090252,0.03239759428125962,0.0,0.0,0.0,0.0,0.0,0.0,1.0
scanpath_vs_text_word_ratio,65671,0.9735757600206483,0.378720716242466,0.05660377358490566,0.75,1.0,1.0,1.4,1.6666666666666667,8.0
scanpath_vs_text_lm_token_ratio,65671,1.140409754087127,0.4883099605049592,0.06818181818181818,0.8181818181818182,1.0,1.3333333333333333,2.0,2.0,8.25
