rank,token,count,relative_frequency
1,de,36042,0.0434755337037314
2,la,35069,0.04230185593075181
3,que,29862,0.03602093078799254
4,y,26220,0.03162778130269789
5,a,21961,0.02649037777225585
6,el,20070,0.024209365779753876
7,en,17557,0.021178068509972038
8,se,14522,0.01751711060555983
9,un,13166,0.015881440451232662
10,los,10793,0.01301901768116012
11,no,8582,0.01035200683217976
12,una,8570,0.01033753187506182
13,su,8303,0.010015464079187665
14,con,7422,0.008952760977445604
15,por,7222,0.008711511692146613
16,las,6922,0.008349637764198123
17,lo,6449,0.007779083204466007
18,para,5999,0.0072362723125432744
19,del,5838,0.007042066637877585
20,había,5114,0.0061687442250952336
21,al,4787,0.005774301643631381
22,le,4688,0.00565488324740838
23,pero,4658,0.005618695854613531
24,era,4148,0.0050035101771011
25,como,3950,0.004764673384655098
26,cuando,3881,0.004681442381226946
27,más,3717,0.004483617967281772
28,estaba,3205,0.0038660197969163515
29,es,2823,0.0034052336619952764
30,si,2793,0.0033690462692004277
31,me,2790,0.0033654275299209425
32,hasta,2703,0.003260484090815881
33,sus,2656,0.003203790508770618
34,fue,2645,0.003190521798079173
35,todo,2639,0.0031832843195202035
36,después,2449,0.002954097498486161
37,mi,2286,0.002757479330967482
38,porque,2172,0.0026199672383470565
39,vez,2052,0.002475217667167661
40,tenía,2021,0.002437824027946317
41,casa,2007,0.002420936577975388
42,ese,1999,0.002411286606563428
43,ella,1941,0.0023413243138267203
44,esa,1878,0.0022653307889575376
45,día,1853,0.0022351746282951637
46,o,1842,0.0022219059176037193
47,sin,1803,0.0021748623069704157
48,él,1721,0.0020759500999978286
49,nos,1677,0.0020228752572320503
50,ya,1673,0.0020180502715260707
51,qué,1627,0.0019625629359073023
52,eso,1626,0.0019613566894808076
53,todos,1618,0.0019517067180688478
54,dos,1556,0.00187691943962616
55,sobre,1540,0.0018576194968022406
56,tan,1472,0.0017755947398005833
57,desde,1471,0.0017743884933740883
58,dijo,1452,0.0017514698112706842
59,nunca,1439,0.0017357886077262496
60,bolsillos,1404,0.001693569982798926
61,también,1335,0.0016103389793707737
62,noche,1321,0.0015934515293998441
63,años,1285,0.0015500266580460256
64,eran,1242,0.0014981580617067422
65,nada,1233,0.0014873018438682876
66,poco,1229,0.0014824768581623076
67,nadie,1228,0.0014812706117358126
68,cada,1218,0.001469208147470863
69,ahí,1198,0.0014450832189409639
70,algo,1197,0.0014438769725144689
71,solo,1193,0.001439051986808489
72,yo,1178,0.0014209582904110647
73,familia,1112,0.0013413460262623972
74,les,1094,0.0013196335905854878
75,así,1059,0.0012774149656581643
76,mientras,1058,0.0012762087192316693
77,ni,1035,0.001248465051422285
78,muy,1010,0.0012183088907599111
79,ojos,993,0.0011978027015094967
80,emilia,985,0.0011881527300975372
81,antes,975,0.0011760902658325876
82,bien,971,0.0011712652801266076
83,entonces,954,0.0011507590908761932
84,donde,952,0.0011483465980232034
85,volvió,949,0.0011447278587437184
86,podía,949,0.0011447278587437184
87,esta,942,0.0011362841337582538
88,hermano,931,0.0011230154230668092
89,durante,929,0.0011206029302138192
90,aunque,927,0.0011181904373608292
91,siempre,910,0.001097684248110415
92,matías,905,0.0010916530159779403
93,mismo,904,0.0010904467695514453
94,vida,902,0.0010880342766984553
95,ver,899,0.0010844155374189705
96,entre,890,0.0010735593195805157
97,gente,879,0.001060290608889071
98,hombre,875,0.0010554656231830913
99,hacer,867,0.0010458156517711317
100,alejandro,867,0.0010458156517711317
101,jordán,843,0.0010168657375352525
102,otro,833,0.001004803273270303
103,luz,817,0.0009855033304463836
