word,cnt
a,10445760
abajo,105998
abalanzó,203
abandonado,9484
abandonados,1406
abanicaba,4
abarrotadas,86
abatido,1191
abatidos,307
abdomen,1749
abedules,125
abierta,19633
abierto,21390
abiertos,8028
abisal,25
abismo,3035
abismos,152
abogado,50651
abolida,106
aboliendo,8
abolir,305
abordado,288
abordarlo,246
abrazaba,348
abrazado,479
abrazados,327
abrazó,733
abre,44869
abren,3227
abriera,990
abrieran,266
abrieron,2386
abrigar,118
abrigate,0
abrigos,2030
abril,7295
abrileño,0
abrir,30726
abrumadora,550
abrí,3803
abría,1081
abríamos,66
abrían,287
absoluta,3760
absolutamente,25109
absoluto,24147
abstractas,105
abstracto,623
abstraído,26
absurdo,9039
abuela,40125
abuelita,3122
abuelo,37146
abuelos,3031
abunda,247
aburridas,1394
aburridísimo,159
aburrían,47
acaba,65795
acabadas,197
acaban,14831
acabando,3401
acabar,28346
acabara,1939
acabo,58664
acabé,3763
acabó,52443
acacias,54
acaece,14
acaecer,9
acaparar,226
acariciaba,207
acariciara,33
acariciarla,178
acariciábamos,5
acaricié,111
acarició,177
acaso,31748
acceder,4516
accederse,10
accesible,837
acceso,19051
accidentado,279
accidente,51415
acciones,16784
acción,31288
aceite,9600
aceleró,291
acepta,9498
aceptaba,743
aceptan,2877
aceptar,21224
aceptarlo,10350
aceptaron,1801
aceptándolo,164
aceptó,4447
acequias,42
acerca,74290
acercaban,377
acercado,1146
acercar,1546
acercarme,6261
acercarse,9157
acercó,3614
acero,9697
acerqué,1345
acertados,106
achicados,4
achuras,0
aciertos,171
acodos,0
acomoda,318
acomodaba,27
acomodó,97
acompaña,3950
acompañadas,130
acompañado,2116
acompañando,347
acompañaron,132
acordaron,465
acordé,1397
acorralado,672
acorralados,307
acosado,535
acostaba,1127
acostarse,8490
acostumbrada,3474
acostumbrado,6397
acróbatas,324
actitud,12083
actividad,9288
activos,2199
acto,19058
actores,8074
actos,7095
actuado,2193
actuales,1658
actualizaciones,455
actualmente,5554
actuar,20171
actuase,62
acuario,1745
acuarios,105
acudió,846
acuerdo,352549
acuesta,2182
acumulado,563
acumulados,130
acumulando,626
acumular,500
acurrucada,120
acá,63604
adaptación,973
adaptados,238
adecuadamente,1507
adecuadas,1081
adelanta,866
adelantado,4584
adelantando,505
adelante,129612
adelgazara,11
adelina,250
ademanes,78
además,77255
adentro,45781
adherida,77
adherido,196
adiestrada,52
adiestrado,242
adiposas,12
adivinaba,113
administran,126
administrar,991
admira,1361
admiraba,1097
admirablemente,198
admiración,1936
admiraron,28
admitirse,30
adolescencia,1034
adolescente,6763
adolescentes,4610
adoptar,2319
adoptó,802
adoquines,124
adoquín,24
adoraban,546
adorada,834
adormecidos,60
adornan,107
adorándome,16
adquiridos,114
adquirir,1499
adrianita,0
aduaneros,93
aducirse,0
adulta,2751
adulto,7227
adultos,8988
adversarios,668
advertencia,7243
advertencias,963
advertido,2014
advertía,78
advierte,697
advierto,6951
aeropuerto,19546
afecta,6336
afectada,1403
afectar,2289
afectos,312
afeitado,1371
afeitarse,1322
afeitará,25
afelpada,9
aferraba,139
aferrada,137
aferradas,7
afilarse,24
afiliado,238
afinidades,69
afirma,2478
afirmaciones,494
afirmación,1231
afirmar,989
aflicción,728
afligida,440
afloraron,14
afortunadamente,5104
afortunados,3476
afuera,77710
afueras,5106
afín,117
agachara,18
agachó,169
agallas,5794
agarra,9275
agarrando,1024
agarrar,6796
agarraron,1844
agarrarse,871
agarrándolo,66
agarrándose,171
agarré,3240
agarró,4125
agencia,13377
agente,73066
agentes,19467
agitada,908
aglomeradas,7
agnosias,0
agonizaba,102
agonía,2174
agosti,0
agosto,6666
agota,880
agotado,4187
agotarse,311
agradable,34343
agradecidos,2799
agradecimiento,3485
agrandada,67
agrandado,151
agravadas,6
agravaron,16
agrega,721
agregábamos,0
agresión,3920
agrisadas,0
agrupó,5
agua,132759
aguado,278
aguantar,9680
aguardaba,136
aguas,8157
aguda,1503
agudo,1781
aguja,5709
agujerito,149
agujero,18269
agujitas,0
agárrenlo,2792
ah,166655
ahogaba,359
ahora,1161407
ahorro,1287
ahí,485022
aid,0
aire,58270
aires,4326
aislado,3008
aislados,1337
aislé,117
ajenas,546
ajeno,925
ajenos,634
ajolote,0
ajustaban,27
ajustables,51
ajustar,2024
al,3549720
ala,7475
alambre,2575
alarga,283
alargada,98
alargado,258
alargando,106
alargó,163
alarma,12806
alarmados,23
alarmarlos,94
alas,10074
alba,2730
albañal,17
albinismo,14
alcance,11443
alcancé,625
alcanza,4905
alcanzaba,434
alcanzaban,90
alcanzar,9007
alcanzó,1971
alcohol,15957
alegre,8739
alegres,2123
alegría,14801
aleja,2917
alejandro,4242
alejarse,4235
alemán,14016
alerta,15052
aleta,1206
aletear,101
aleteo,197
alfajores,13
alfiler,1064
alfiletero,64
alfombra,7138
alfombrar,18
alfonsina,5
algo,1134248
algodón,4417
algoritmos,444
alguien,478872
alguna,206480
algunas,94864
alguno,24987
algunos,107408
algún,175401
alicia,5572
aliento,10488
alimentaba,362
alimentados,477
alimentarse,2605
alimento,4074
alimentos,4944
alisar,57
alistado,411
aliviados,210
alivio,5867
allanamiento,1674
allegada,54
allá,133352
allí,264784
alma,44735
almaceno,28
almendras,699
almirante,9069
almohada,5014
almohadas,1367
almohadones,276
almohadón,207
almorzar,8838
almuerzo,17583
alquiler,9116
alquitrán,658
alrededor,46624
alta,30818
altera,1097
alteración,865
alterados,522
alteran,305
alterarse,382
alteró,833
alto,92120
altos,7024
altura,12358
alturas,3750
altísimo,386
alucinaciones,2861
alucinados,95
aluden,12
aludido,62
alumbraba,20
alusiones,215
alusión,284
alza,1354
alzado,311
alzados,53
alzan,213
alzar,734
alzo,137
alzó,378
ama,29243
amaba,14223
amaban,980
amable,43924
amaestrados,30
amagó,6
aman,6304
amando,794
amanecer,11960
amanecido,214
amaneció,336
amanecía,36
amansados,1
amansar,29
amantes,6945
amar,12188
amarantos,0
amarga,1443
amargo,1792
amarilla,4252
amarillenta,67
amarillentos,39
amarillos,2038
ambas,13714
ambiciones,1610
ambiente,11049
ambientes,454
amblistoma,0
ambos,50227
ambulancia,12594
ambulando,0
amena,157
amenaza,19548
amenazaba,579
amenazado,2582
amiga,56297
amigo,300586
amigos,181529
amistad,15035
amo,96728
amoldarse,54
amontonaban,36
amontonan,183
amor,197426
amordazado,141
amordazando,14
amores,1618
amortiguado,38
amplia,1812
amplié,75
américa,24063
amílcar,33
amó,1680
anal,1212
analista,1800
analizar,3222
analizarla,480
analogía,521
analogías,66
ananás,41
anaquel,67
anaranjada,200
anda,48264
andaba,3998
andando,16727
andar,16195
andarán,153
andrew,9854
andrée,127
andá,1012
anemia,782
angelical,301
angosto,337
angustia,2786
angustias,247
anhelado,200
anhelante,45
anidan,92
anillos,5134
animaba,217
animaban,68
animación,1239
animada,1039
animal,22273
animales,30093
animalitos,309
animaron,106
animas,331
animo,1241
animó,453
aniquilado,420
aniquilados,330
aniversario,8320
anoche,72473
anochecer,2887
anocheceres,7
anocheció,61
anomalía,2179
anomalías,1202
anotaba,120
anotadores,52
ansiado,150
ansiedad,3746
ansiosamente,434
ante,43653
antecesor,146
antecámara,133
antemano,1047
antenas,809
anteojos,3426
antepasado,553
anterior,12407
anteriores,3488
anteriormente,7486
antes,440999
antigua,14982
antiguas,4160
antiguo,16637
antiguos,9055
antinoo,0
antonio,8586
antropocéntricos,0
antropomórficos,1
antártica,428
anual,3202
anulación,1267
anular,1935
anuncio,10323
anya,1185
anécdota,1053
apacible,765
apagada,1094
apagadamente,0
apagadas,853
apagado,4134
apagaron,900
apagó,1941
aparato,6886
aparece,15391
aparecen,4289
aparecer,8469
aparecieron,2604
apareció,13566
aparente,1504
aparentes,216
