cuento,archivo,n_original,n_conservados,n_eliminados,porcentaje_eliminado,min_words_original,max_words_original,mean_words_original,min_words_filtrado,max_words_filtrado,mean_words_filtrado
"Ahora debería reírme, si no estuviera muerto",sub-001.json,35,32,3,8.5714,1,42,19.5143,4,42,21.25
"Ahora debería reírme, si no estuviera muerto",sub-002.json,38,32,6,15.7895,1,43,18,5,43,21.125
"Ahora debería reírme, si no estuviera muerto",sub-003.json,69,44,25,36.2319,1,42,11.029,4,42,16.5
"Ahora debería reírme, si no estuviera muerto",sub-005.json,39,32,7,17.9487,1,40,17.5385,6,40,21.0625
"Ahora debería reírme, si no estuviera muerto",sub-006.json,39,33,6,15.3846,1,37,17.4872,5,37,20.3939
"Ahora debería reírme, si no estuviera muerto",sub-009.json,41,36,5,12.1951,1,42,17.2195,4,42,19.3889
"Ahora debería reírme, si no estuviera muerto",sub-010.json,41,35,6,14.6341,1,40,17.3659,5,40,20.1143
"Ahora debería reírme, si no estuviera muerto",sub-012.json,37,34,3,8.1081,1,42,19.4865,7,42,21.0588
"Ahora debería reírme, si no estuviera muerto",sub-013.json,46,35,11,23.913,1,43,15.7174,4,43,20.2286
"Ahora debería reírme, si no estuviera muerto",sub-016.json,82,46,36,43.9024,1,42,9.6585,4,42,16.0652
"Ahora debería reírme, si no estuviera muerto",sub-018.json,37,36,1,2.7027,1,41,19.7568,4,41,20.2778
"Ahora debería reírme, si no estuviera muerto",sub-021.json,38,35,3,7.8947,1,42,19.2895,4,42,20.8571
"Ahora debería reírme, si no estuviera muerto",sub-024.json,38,33,5,13.1579,1,43,17.9474,5,43,20.4545
"Ahora debería reírme, si no estuviera muerto",sub-027.json,35,32,3,8.5714,1,41,19.1143,6,41,20.7812
"Ahora debería reírme, si no estuviera muerto",sub-028.json,48,36,12,25.0,1,42,14.6042,4,42,18.9444
"Ahora debería reírme, si no estuviera muerto",sub-034.json,53,40,13,24.5283,1,42,14.0566,5,42,18.2
"Ahora debería reírme, si no estuviera muerto",sub-036.json,54,37,17,31.4815,1,43,13.537,4,43,19.1081
"Ahora debería reírme, si no estuviera muerto",sub-039.json,45,35,10,22.2222,1,42,15.2,5,42,19.0571
"Ahora debería reírme, si no estuviera muerto",sub-041.json,37,33,4,10.8108,1,43,18.6486,4,43,20.7576
"Ahora debería reírme, si no estuviera muerto",sub-042.json,37,34,3,8.1081,1,42,19.2162,4,42,20.7647
"Ahora debería reírme, si no estuviera muerto",sub-044.json,34,32,2,5.8824,1,43,20.2941,5,43,21.5
"Ahora debería reírme, si no estuviera muerto",sub-046.json,37,35,2,5.4054,1,43,19.5135,4,43,20.5714
"Ahora debería reírme, si no estuviera muerto",sub-048.json,34,33,1,2.9412,1,43,20.2059,5,43,20.7879
"Ahora debería reírme, si no estuviera muerto",sub-052.json,55,36,19,34.5455,1,41,13.6727,4,41,20.1389
"Ahora debería reírme, si no estuviera muerto",sub-053.json,39,32,7,17.9487,1,42,17.5128,6,42,21.0312
"Ahora debería reírme, si no estuviera muerto",sub-058.json,44,36,8,18.1818,1,43,16.5909,4,43,19.9167
"Ahora debería reírme, si no estuviera muerto",sub-060.json,43,33,10,23.2558,1,43,16.6744,7,43,21.303
"Ahora debería reírme, si no estuviera muerto",sub-064.json,33,32,1,3.0303,2,43,21.2424,6,43,21.8438
"Ahora debería reírme, si no estuviera muerto",sub-065.json,35,32,3,8.5714,1,43,19.4857,5,43,21.1562
"Ahora debería reírme, si no estuviera muerto",sub-066.json,34,33,1,2.9412,1,43,20.3235,5,43,20.9091
"Ahora debería reírme, si no estuviera muerto",sub-068.json,37,33,4,10.8108,1,43,19.027,6,43,21.0909
"Ahora debería reírme, si no estuviera muerto",sub-070.json,61,43,18,29.5082,1,43,12.8689,4,43,17.7209
"Ahora debería reírme, si no estuviera muerto",sub-073.json,42,37,5,11.9048,1,43,18.3095,4,43,20.5135
"Ahora debería reírme, si no estuviera muerto",sub-078.json,40,34,6,15.0,1,43,17.325,4,43,20.2059
"Ahora debería reírme, si no estuviera muerto",sub-079.json,44,35,9,20.4545,1,43,16.2273,6,43,20
"Ahora debería reírme, si no estuviera muerto",sub-083.json,35,33,2,5.7143,1,43,20.0286,5,43,21.1818
"Ahora debería reírme, si no estuviera muerto",sub-085.json,39,33,6,15.3846,1,43,17.4615,4,43,20.3636
"Ahora debería reírme, si no estuviera muerto",sub-086.json,34,31,3,8.8235,1,42,19.7353,7,42,21.4839
"Ahora debería reírme, si no estuviera muerto",sub-087.json,45,36,9,20.0,1,42,15.3111,4,42,18.8889
"Ahora debería reírme, si no estuviera muerto",sub-088.json,44,38,6,13.6364,1,36,16.5455,4,36,18.9211
"Ahora debería reírme, si no estuviera muerto",sub-089.json,33,32,1,3.0303,1,42,20.6061,5,42,21.2188
"Ahora debería reírme, si no estuviera muerto",sub-091.json,35,32,3,8.5714,1,38,19.1714,4,38,20.875
"Ahora debería reírme, si no estuviera muerto",sub-095.json,45,34,11,24.4444,1,43,15.9333,4,43,20.6471
"Ahora debería reírme, si no estuviera muerto",sub-096.json,38,33,5,13.1579,1,43,18.2632,5,43,20.8788
"Ahora debería reírme, si no estuviera muerto",sub-097.json,40,35,5,12.5,1,43,18,5,43,20.3429
